"E1" "N2" "RA3" "C4" "N5" "RE6" "O7" "A8" "A9" "RC10" "RN11" "O12" "E13" "C14" "RA15" "E16" "N17" "N18" "O19" "O20" "A21" "RC22" "N23" "RE24" "A25" "RC26" "RN27" "O28" "O29" "E30" "RA31" "O32" "C33" "RN34" "RE35" "RA36" "A37" "C38" "RO39" "E40" "C41" "RC42" "O43" "O44" "Satisfaction" "Score"
"110" 6 2 4 7 1 1 6 7 6 7 3 5 6 7 7 6 4 4 6 6 7 3 6 6 6 7 2 6 7 6 6 7 6 2 7 7 7 7 7 7 6 5 7 5 45 528.09979476312
"70" 3 1 7 6 1 5 5 5 6 6 2 4 5 6 7 6 1 3 5 4 6 6 2 2 5 7 5 5 4 5 3 4 6 3 5 7 6 6 5 5 6 5 6 5 63 729.14766076669
"191" 7 6 7 7 6 7 7 7 7 2 2 3 6 7 7 7 7 1 7 7 7 1 6 6 7 7 2 7 6 7 1 6 7 1 1 7 7 7 7 7 6 1 7 6 18 183.684997548857
"4" 4 3 7 6 5 4 7 6 6 5 1 7 6 7 7 6 5 2 5 7 6 3 6 4 6 6 5 7 7 4 2 7 6 2 4 7 7 5 7 6 4 6 6 7 89 925.614506056633
"273" 3 2 4 6 2 5 5 6 6 5 2 5 5 6 5 5 2 2 4 4 5 5 3 3 5 6 3 3 5 4 6 3 6 3 5 6 6 6 4 3 6 5 5 3 62 687.50650680212
"156" 3 3 6 5 1 1 6 3 2 5 5 2 6 7 6 3 4 1 4 4 6 5 7 2 5 7 2 4 4 5 2 1 7 2 3 7 6 7 5 2 5 4 6 2 64 718.295933351071
"266" 6 3 6 6 2 4 3 7 6 6 3 5 5 6 6 5 4 2 4 4 6 6 6 5 7 6 2 4 3 5 6 3 6 3 3 7 6 5 2 3 6 4 3 5 10 114.51315226688
"260" 3 1 7 1 1 7 1 1 1 7 7 1 1 1 7 1 1 1 1 1 1 7 1 7 1 7 7 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 30 272.328913103912
"8" 3 2 3 5 2 2 6 6 3 7 2 2 6 7 4 6 6 6 6 6 4 6 6 3 3 7 3 6 5 5 4 3 7 6 6 7 6 7 7 5 5 5 5 5 2 31.1386470534608
"26" 5 4 5 6 2 2 6 6 6 3 3 6 6 7 5 5 2 2 6 6 5 6 4 2 6 6 1 7 7 6 7 7 7 2 3 6 7 6 5 6 7 5 6 6 58 659.035602474088
"283" 7 1 7 7 1 5 5 6 11 6 2 5 5 7 7 6 1 2 4 5 6 4 4 6 6 5 2 6 5 5 7 1 6 2 7 7 7 6 2 6 7 4 5 1 10 119.701139693616
"61" 2 7 4 6 2 3 7 6 7 3 5 3 7 6 3 6 6 5 6 5 3 4 6 1 2 6 4 5 6 3 1 5 4 3 3 3 6 6 1 2 5 3 6 3 5 56.3965089373567
"231" 7 1 2 1 1 7 6 6 6 7 2 6 7 7 4 6 1 4 5 7 5 6 2 7 6 7 2 4 7 7 4 2 7 1 7 4 6 6 7 6 4 6 6 2 26 310.900100906402
"254" 5 5 4 5 2 4 4 5 5 6 3 4 5 6 4 4 3 2 4 4 5 4 3 5 5 5 3 4 4 5 6 4 5 4 6 7 6 4 5 5 5 5 4 4 55 550.580719410165
"238" 5 2 4 6 3 5 5 5 6 3 2 5 5 5 3 5 5 4 3 6 7 3 5 5 5 7 4 4 4 6 4 5 5 3 5 5 5 5 3 5 5 NA 5 NA 93 896.374755797408
"151" 6 2 7 7 3 3 6 6 6 6 2 6 6 7 7 7 2 1 7 7 4 6 7 5 4 7 1 7 7 6 7 7 7 1 3 7 7 7 2 7 6 6 6 7 2 34.097465425145
"279" 7 1 5 7 1 4 4 7 6 7 3 4 4 7 4 4 3 6 5 4 4 7 1 7 4 7 1 4 4 6 6 1 7 4 7 7 4 7 4 4 6 4 4 1 68 857.198276833414
"197" 7 1 2 7 1 7 7 7 7 6 2 6 5 6 6 5 2 1 5 7 6 7 3 5 7 7 2 6 6 4 6 5 7 2 7 7 6 6 6 5 6 7 6 1 69 867.862314548967
"85" 7 7 6 7 2 2 7 7 5 5 3 7 3 7 7 7 3 1 7 7 4 1 5 4 1 7 1 3 4 7 7 4 5 1 1 6 7 7 7 5 4 1 7 6 7 79.6483505370341
"89" 2 1 7 6 1 1 6 7 6 1 1 2 5 7 7 6 1 2 7 7 1 6 7 2 6 7 1 7 7 7 7 7 7 1 7 7 7 7 7 5 6 7 7 7 49 568.25706557672
"194" 2 3 5 6 7 1 4 7 6 6 2 4 4 5 6 5 5 3 5 5 7 NA 6 1 7 7 2 4 5 5 4 5 7 3 2 6 5 6 6 4 5 5 4 1 77 847.769463461714
"271" 4 5 5 6 4 3 4 6 11 6 5 5 4 7 7 4 5 2 3 3 6 7 7 4 6 6 6 4 4 4 7 5 2 5 4 7 4 4 2 5 6 5 3 2 58 600.402461663842
"7" 6 5 3 5 3 7 6 5 3 5 3 6 7 6 4 7 5 4 7 7 5 2 3 6 7 6 3 7 7 5 6 7 6 4 6 7 6 7 6 7 4 4 7 6 21 225.4751251712
"175" 6 6 6 6 2 1 7 7 6 7 6 7 7 5 6 3 6 3 6 7 7 5 1 4 7 7 2 7 7 5 7 7 7 1 2 5 6 6 2 5 5 7 6 1 72 838.22274222881
"278" 7 1 7 7 1 7 6 7 11 7 1 7 6 7 7 7 1 1 4 5 7 7 1 7 3 7 1 6 4 5 7 1 7 1 7 7 6 6 5 7 7 1 4 1 21 259.461351039357
"75" 5 4 7 5 2 5 4 6 5 7 5 3 5 5 5 5 3 2 5 4 3 6 6 3 5 7 6 2 5 3 4 3 6 4 6 6 6 5 4 4 6 4 5 3 58 636.241011066847
"94" 5 2 4 6 1 2 7 5 5 4 1 4 5 7 7 6 3 3 7 6 4 5 6 4 4 7 2 4 6 6 2 1 6 3 3 6 6 6 4 5 6 7 6 5 92 1060.43616313196
"270" 5 1 3 6 1 6 5 6 6 6 2 7 5 6 6 5 2 2 5 7 1 5 2 4 5 5 1 7 5 5 5 7 6 2 7 5 5 5 4 6 5 5 5 7 75 811.111833817735
"103" 7 1 2 7 1 2 7 7 7 3 2 2 6 7 7 6 4 1 7 7 5 7 7 3 3 7 2 3 6 6 1 7 7 2 1 7 7 7 2 3 7 7 7 6 13 168.736511179477
"44" 3 6 5 4 1 2 4 7 6 1 4 1 6 6 2 4 6 6 4 4 4 2 6 2 6 4 2 4 6 4 4 4 6 2 2 7 1 4 4 3 4 1 6 1 57 425.130524496161
"267" 6 4 3 6 3 5 3 6 6 6 3 6 6 7 4 6 4 6 4 4 5 4 2 4 6 5 2 4 4 5 6 2 6 4 6 6 6 6 2 6 6 2 4 2 10 117.237856731988
"98" 6 2 7 6 1 1 4 7 6 7 1 2 7 7 4 7 1 2 4 4 7 6 6 2 7 7 1 7 4 7 6 4 7 1 6 7 7 7 4 7 7 7 4 4 59 756.297686211696
"146" 2 1 2 7 1 2 7 2 7 7 5 7 6 7 7 6 1 2 7 7 7 7 7 3 7 7 1 7 7 7 1 7 7 2 7 7 7 7 7 6 7 7 7 2 75 991.105591057327
"137" 2 5 5 6 4 7 6 4 7 4 6 5 4 7 7 1 3 7 6 4 7 2 6 4 2 7 6 6 4 5 2 2 6 5 7 5 4 5 7 1 4 3 6 2 50 484.431791888447
"39" 5 1 2 7 1 2 7 6 7 7 2 4 7 7 7 7 1 1 7 7 6 7 6 5 2 7 1 6 7 7 3 3 7 6 6 7 7 7 6 3 7 6 7 4 94 1223.71819724438
"36" 3 2 3 6 3 3 3 6 3 7 3 3 5 6 7 2 3 2 5 3 3 6 6 3 6 7 2 5 3 1 4 1 6 3 4 7 6 4 2 3 5 6 2 5 41 468.066147038609
"139" 6 2 3 6 1 2 5 5 6 6 6 1 6 7 7 6 4 4 5 5 4 7 6 4 4 7 3 5 5 5 4 4 6 3 5 6 5 5 5 2 6 6 3 3 43 520.430362458779
"269" 4 5 7 6 1 3 2 5 6 6 2 5 4 6 6 2 2 2 1 2 6 6 2 2 6 4 2 2 1 1 6 1 6 3 2 7 6 6 2 6 7 4 2 5 23 251.964221012852
"111" 4 5 6 6 1 3 6 5 5 6 4 3 5 5 7 2 3 2 4 2 4 6 5 5 3 7 3 1 5 4 6 3 5 3 3 6 4 2 7 2 1 6 5 2 35 346.671437009367
"174" 5 2 4 6 1 4 6 5 6 6 1 4 6 7 6 5 4 2 6 6 6 5 6 3 3 7 1 6 5 6 2 4 7 1 5 7 6 6 5 6 7 3 6 1 100 1156.36133120827
"14" 5 2 4 6 1 1 5 6 5 6 2 4 5 6 7 4 2 1 6 6 7 4 6 5 5 6 2 6 6 5 4 2 7 3 4 5 5 6 5 4 6 7 6 4 90 1041.39242403844
"257" 6 6 3 6 2 2 6 6 6 6 2 6 6 6 6 6 2 2 4 6 6 6 2 6 5 7 2 6 6 6 7 4 6 2 6 7 6 6 2 6 6 6 6 5 52 612.917841824902
"60" 1 6 7 7 1 3 6 7 7 3 2 3 6 6 7 4 3 1 6 6 5 7 5 3 7 7 2 7 5 4 3 6 7 1 7 7 7 7 7 4 5 2 4 4 20 223.075989029155
"285" 6 4 4 5 4 5 4 4 5 4 2 5 5 5 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 5 5 3 5 5 4 3 4 8 88.6626918591861
"236" 3 3 7 6 4 4 3 7 7 7 2 4 6 6 7 5 1 1 4 4 6 5 4 2 7 2 2 5 5 4 5 3 7 2 5 7 7 7 1 6 4 3 5 6 68 689.108146542725
"250" 6 1 4 7 1 3 7 6 6 7 2 5 6 7 4 7 1 4 4 6 4 7 4 2 4 1 7 1 4 5 7 1 5 1 7 7 7 7 4 4 6 7 4 1 41 481.03942359273
"142" 6 3 7 7 1 2 5 6 6 7 2 6 6 7 7 6 1 1 6 6 6 7 4 7 6 7 2 7 6 6 2 7 6 2 7 7 6 6 7 6 6 2 7 5 69 811.829451995379
"115" 4 6 6 6 3 2 6 6 4 6 2 4 6 6 5 6 2 3 6 5 5 6 7 6 2 6 3 6 5 4 4 5 6 2 2 6 5 6 6 5 3 6 3 5 96 1051.22247863358
"96" 6 2 5 6 4 4 7 6 7 4 3 6 7 6 6 6 6 1 6 7 2 6 6 2 6 6 4 7 6 6 6 6 4 2 6 6 6 6 7 6 6 2 6 5 91 914.494955298345
"164" 5 2 7 5 1 6 4 6 5 4 2 5 6 5 5 5 2 3 6 5 5 3 5 4 4 5 2 7 7 7 5 6 6 2 4 6 6 5 7 6 6 3 6 2 88 826.593408382472
"182" 7 6 5 7 5 4 5 7 6 6 4 3 6 7 6 6 5 3 6 6 4 7 7 6 6 7 4 6 5 6 6 4 7 4 6 6 7 7 3 6 6 5 6 4 84 1041.78994351103
"168" 5 4 5.94 NA 4 2 6 6 6 3 2 4 6 6 4 6 4 4 6 5 4 2 6 3 3 7 2 6 NA NA 5 5 6 2 3 7 6 6 5 4 6 6 5 5 62 645.627472611319
"130" 3 7 3 6 3 2 5 5 5 2 5 6 5 6 6 5 4 4 5 4 3 4 6 5 4 5 3 7 5 5 2 5 5 3 3 7 6 5 3 5 5 4 6 5 6 67.6015959218023
"230" 3 4 7 6 3 6 4 7 7 7 4 6 5 5 7 6 4 3 4 3 7 5 7 4 7 6 5 7 5 3 5 5 NA 5 4 7 7 4 3 4 5 4 5 5 64 657.038744114634
"56" 2 6 6 7 4 1 4 7 7 2 5 4 5 7 5 5 7 2 4 4 6 5 3 2 5 7 2 6 6 5 3 5 7 2 2 6 6 6 3 2 5 3 4 5 45 473.254813865811
"114" 1 1 7 7 1 1 7 7 7 7 3 6 7 7 7 7 1 1 7 7 2 6 4 7 7 7 3 6 7 7 6 6 7 1 7 7 7 7 7 7 6 7 7 6 87 1116.04439637643
"38" 4 5 6 7 1 1 5 7 7 7 1 4 6 6 7 4 4 1 6 5 7 7 6 7 5 7 2 7 6 5 3 7 6 2 2 7 6 6 6 6 6 3 6 6 43 506.252879067107
"120" 5 2 4 6 1 6 7 5 6 5 2 4 6 7 5 6 3 2 7 6 7 4 7 4 3 6 3 7 6 6 4 5 7 1 7 7 4 7 3 6 6 6 7 6 66 768.122888418943
"43" 4 3 6 6 1 1 4 6 5 6 3 5 5 7 6 4 3 1 6 5 5 3 7 4 5 7 5 6 4 5 3 5 6 3 3 7 5 6 6 4 5 6 4 1 52 583.795533837483
"53" 2 2 7 5 1 1 7 4 1 7 3 7 6 7 4 6 2 2 6 7 3 1 6 4 2 7 1 7 7 5 3 7 7 1 4 7 6 5 7 4 7 7 6 7 88 1005.33329017143
"274" 6 2 6 7 1 4 5 7 11 3 3 4 6 7 7 5 5 2 4 6 6 7 4 5 7 6 4 5 4 5 6 3 7 2 6 7 7 7 2 7 7 3 5 4 56 637.882571856285
"263" 4 2 4 6 1 5 6 5 5 6 2 5 5 6 5 6 4 3 4 5 4 6 3 6 6 7 5 3 5 6 6 2 7 3 6 2 4 6 3 3 6 2 5 2 61 691.060419464823
"79" 4 2 6 3 1 1 5 7 6 2 1 4 7 7 2 5 2 3 5 7 7 4 7 4 7 3 1 7 6 5 6 5 5 1 2 1 7 6 5 7 7 3 7 5 24 228.667909053094
"242" 6 3 5 4 3 5 3 5 5 5 3 5 4 5 5 5 3 5 3 5 5 4 5 4 5 3 5 1 4 3 5 1 5 3 4 5 4 4 4 4 5 5 4 3 37 333.813633015131
"141" 3 1 7 7 1 1 6 5 6 4 1 7 7 7 7 6 1 1 6 6 6 6 NA 5 2 7 1 7 7 7 6 6 5 2 6 7 7 7 7 4 6 6 6 4 57 677.099157267363
"45" 7 6 5 7 5 4 5 7 6 6 4 3 6 7 6 6 5 3 6 6 5 6 7 6 6 7 4 6 5 6 6 4 7 4 6 6 7 7 3 6 6 5 6 4 53 646.583810254234
"65" 6 5 2 6 4 2 5 4 6 2 3 5 6 6 5 6 4 3 6 6 2 3 6 6 2 6 2 6 6 5 2 6 6 2 2 6 6 6 6 4 6 2 5 5 51 497.771126754426
"252" 6 2 2 6 1 4 5 7 11 7 4 3 6 7 6 6 5 5 4 7 4 6 4 4 5 6 4 2 6 6 4 2 6 2 6 7 6 6 4 3 6 3 5 2 78 882.289643639769
"133" 6 2 5 6 1 1 6 5 5 6 2 6 6 6 5 5 5 3 6 6 4 5 5 4 4 6 2 7 5 5 3 6 6 3 3 4 6 6 6 6 5 5 6 5 71 788.968610013166
"176" 5 2 4 7 1 4 6 5 6 6 1 4 6 7 6 5 4 2 6 6 6 5 6 3 3 7 1 6 5 6 2 4 7 1 5 7 6 6 5 6 7 3 6 1 81 954.327376331318
"165" 3 4 5 5 3 1 5 7 6 5 2 6 6 7 6 5 5 2 6 5 6 2 7 3 6 7 3 7 5 5 4 4 6 4 2 7 7 6 6 2 6 4 7 2 3 33.2856720179192
"78" 5 1 7 7 1 1 7 7 6 6 2 6 7 7 7 4 6 6 7 7 7 4 7 1 7 7 3 3 6 5 5 3 7 2 3 7 6 6 7 3 7 6 6 1 100 1196.50718833941
"67" 4 1 5 6 1 1 7 6 7 7 7 7 7 7 7 7 4 4 7 6 1 7 4 4 4 7 4 7 6 7 6 7 6 4 7 5 7 6 2 5 6 5 7 4 15 192.125298191264
"30" 3 1 7 6 7 2 4 6 6 2 3 3 6 6 7 6 3 2 6 5 6 3 6 3 4 5 2 5 4 6 3 4 5 4 5 7 6 6 7 4 5 7 5 4 76 749.016896735087
"163" 2 5 4 6 1 2 4 3 4 4 4 5 6 7 6 4 3 4 5 5 4 5 6 3 2 6 6 5 6 4 5 2 6 5 4 6 4 6 4 3 6 5 5 1 43 474.692119210643
"264" 4 3 5 6 3 4 4 5 6 5 4 5 5 6 5 5 4 4 4 5 6 4 4 4 7 1 3 6 5 4 6 2 6 4 2 4 6 5 4 6 5 4 5 2 3 35.5623262912244
"153" 3 2 5 5 2 2 6 6 6 3 2 6 5 6 6 5 2 2 5 6 NA 3 4 5 5 6 2 6 6 5 5 6 6 3 3 6 5 6 5 5 5 3 5 6 58 558.410088171618
"193" 4 3 4 2 2 4 4 2 5 6 5 4 3 4 4 4 4 1 2 5 5 4 4 4 5 7 6 4 5 4 4 4 6 3 4 7 5 4 3 4 5 4 6 4 10 111.562630217645
"259" 6 1 2 6 1 2 5 6 6 7 2 5 6 6 3 6 2 1 5 6 6 7 1 7 6 7 2 5 6 6 7 5 6 2 7 7 6 6 3 4 6 6 6 3 28 352.883596690894
"31" 6 6 5 5 4 4 6 5 5 4 6 7 5 6 4 6 5 5 5 5 4 3 7 3 4 6 6 7 6 3 4 7 7 6 2 4 4 4 3 4 4 2 6 5 94 847.637039232309
"119" 3 2 5 6 1 5 6 5 6 6 2 4 7 7 7 7 1 1 7 7 6 7 6 4 2 7 2 7 7 7 6 6 7 2 6 7 6 7 7 7 7 7 6 6 97 1248.09680329385
"33" 4 1 7 5 1 2 5 4 4 6 4 2 5 7 7 7 1 1 7 4 5 6 5 2 4 7 1 5 6 5 3 6 6 3 7 6 5 6 5 5 6 3 6 6 53 599.58570764011
"117" 7 2 3 7 1 2 5 7 6 5 1 6 7 7 7 7 4 2 7 7 6 7 7 7 5 7 2 7 7 7 7 7 7 1 6 7 7 7 7 7 6 6 7 5 97 1210.43307608731
"178" 2 4 7 5 5 4 5 5 2 6 6 2 6 6 2 6 6 5 6 6 2 3 6 5 1 1 6 5 5 7 2 7 7 2 2 7 4 6 7 2 6 7 6 2 35 364.086707489273
"104" 1 1 7 6 2 3 6 6 6 4 2 4 6 6 6 5 1 1 6 6 6 3 6 2 6 7 2 4 6 6 2 3 6 2 7 7 6 6 6 6 6 6 6 4 81 876.743968328433
"256" 6 6 2 6 2 5 6 7 11 6 2 6 6 7 3 6 2 2 6 6 6 7 3 4 6 6 2 6 6 6 4 4 7 2 2 4 6 6 4 4 6 4 6 4 56 662.418407310435
"57" 6 1 6 6 1 1 6 7 7 6 2 5 6 6 3 5 1 3 7 7 1 6 6 4 3 7 2 3 7 6 2 3 7 1 7 7 6 6 2 6 6 7 6 6 32 401.851545475172
"152" 5 2 6 7 1 2 7 4 6 3 2 6 6 7 7 6 2 1 7 7 3 7 6 5 2 7 1 7 7 5 4 7 7 2 4 7 7 7 7 6 7 7 7 7 63 794.298806818391
"13" 4 6 6 6 3 1 2 5 5 7 2 3 6 7 7 2 3 2 4 2 5 7 6 3 4 7 1 2 4 2 2 1 7 3 2 6 7 7 2 2 6 4 3 2 88 1071.66112790306
"15" 6 2 7 5 1 2 4 7 7 6 3 6 6 7 7 6 4 1 6 5 7 7 6 6 4 7 3 5 5 3 6 5 6 5 4 7 6 6 6 5 5 5 6 4 38 436.352949002102
"158" 3 5 7 7 1 1 7 7 7 6 1 2 7 7 7 7 1 1 7 7 7 7 4 5 4 7 2 7 7 7 7 7 7 2 7 7 7 6 4 7 7 6 7 4 26 332.965539800377
"40" 3 2 7 5 1 6 5 7 4 6 1 5 6 6 6 5 3 2 6 7 3 1 7 3 2 6 2 5 4 4 5 3 6 4 4 6 6 7 6 5 6 6 6 6 14 158.835006621561
"280" 5 2 4 6 4 4 5 7 6 6 2 6 5 7 7 6 2 1 6 5 6 4 4 4 7 7 2 2 6 5 2 4 7 2 5 7 7 5 4 4 6 6 6 4 65 749.547264049135
"126" 6 4 5 6 1 7 7 5 5 4 3 4 5 7 3 6 7 5 6 6 5 4 7 1 5 1 4 6 6 7 4 1 6 2 5 4 4 6 5 7 5 4 7 3 38 373.049085673207
"1" 2 3 6 5 2 6 6 7 6 3 4 5 7 7 7 3 2 1 6 6 5 4 7 6 2 7 5 6 6 1 7 6 7 5 6 7 7 7 2 5 3 1 6 7 4 51.5779027230097
"143" 6 1 7 7 2 4 5 7 7 7 2 7 7 7 7 6 1 2 5 6 7 4 7 7 7 7 4 7 6 5 7 7 6 1 6 7 7 6 6 6 5 4 6 7 24 277.753151569891
"132" 4 2 1 7 1 6 7 7 6 7 1 2 7 7 6 7 2 2 7 7 7 7 3 2 7 7 2 1 7 6 2 4 7 2 2 6 7 7 6 6 7 4 7 1 27 352.526704209249
"247" 2 3 4 7 1 2 6 6 6 7 1 7 6 7 7 6 1 1 4 7 7 7 1 1 4 7 1 4 6 6 4 4 7 1 2 7 6 6 4 4 6 6 4 2 22 287.484643493705
"109" 5 3.28 4 6 6 2 6 5 6 4 2 6 5 5 3 6 5 3 6 5 6 4 6 4 4 4 3 6 6 4 4 6 6 3 5 5 6 5 6 4 3 4 6 3 83 758.509680097492
"93" 4 4 6 6 2 3 4 5 5 6 5 4 5 6 4 5 5 5 5 5 4 5 4 5 6 6 5 5 4 3 4 4 6 4 5 6 5 3 4 4 3 4 5 4 61 605.260708066778
"248" 5 4 3 6 5 4 5 4 3 5 3 3 5 6 4 5 5 5 6 5 4 2 5 4 5 3 4 3 4 4 4 4 5 4 4 6 4 2 3 5 6 3 4 4 65 561.464788931846
"5" 6 4 7 6 2 3 5 6 6 3 2 4 5 7 7 6 2 2 6 6 6 5 5 7 5 7 2 5 5 5 6 4 6 3 5 7 7 6 6 7 2 3 5 5 15 157.679587104238
"2" 4 2 5 6 2 2 5 6 6 6 2 4 6 7 5 6 3 3 6 6 4 4 6 3 3 7 3 7 6 7 3 6 7 2 5 7 7 7 6 4 7 6 6 5 70 851.334154172933
"52" 2 3 6 6 4 2 7 2 5 3 4 6 4 5 6 3 2 3 6 7 2 2 4 2 2 3 4 7 7 5 4 6 4 5 3 3 5 5 6 5 5 2 6 6 37 308.352127662128
"131" 4 7 5.94 7 4 1 6 6 7 7 1 2 6 7 6 6 3 4 6 5 7 7 6 4 2 NA 4 1 6 6 4 4 6 2 3 6 6 5 4 4 5 4 5 2 18 212.615187504474
"249" 6 3 4 6 2 4 6 6 6 7 3 6 6 6 4 6 5 4 5 6 6 6 5 5 4 7 4 5 6 6 5 2 6 4 4 6 5 5 4 6 5 6 6 3 53 615.727890876732
"106" 6 3 7 7 1 1 6 6 7 5 4 7 6 7 7 7 7 4 7 7 4 7 7 2 7 7 2 7 7 7 1 1 6 2 7 2 6 7 7 4 7 6 7 4 39 490.01059133227
"161" 5 3 6 5 3 2 5 6 6 3 1 4 6 7 7 5 3 6 5 5 3 6 6 4 5 7 6 6 5 5 6 3 7 2 3 1 6 6 4 5 5 2 5 4 93 961.93377483645
"10" 4 2 6 6 1 2 7 7 7 3 1 2 6 7 6 6 2 3 6 7 6 3 5 7 5 6 4 6 6 5 6 5 7 3 7 7 7 6 7 5 5 7 5 6 83 893.663616995385
"154" 3 1 6 6 7 1 4 6 6 6 1 1 4 7 7 4 1 1 6 7 7 1 6 3 6 7 1 6 7 6 2 6 6 1 6 7 7 7 7 3 6 7 6 6 68 776.501371644664
"228" 4 3 3 6 5 5 4 5 4 3 2 5 5 5 5 4 2 2 4 NA 3 1 3 3 2 3 2 4 6 5 6 5 5 3 3 6 4 3 2 6 5 2 5 7 20 168.155486411306
